StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q13,1/5_1,1/5_2,1/5_3,1/5_4,1/5_5,1/5_6,1/5_7,1/5_8,2/5_1,2/5_2,2/5_3,2/5_4,2/5_5,3/5_1,QID7_1,4/5_1,4/5_2,4/5_3,4/5_4,4/5_5,4/5_6,4/5_7,4/5_8,4/5_9,4/5_10,4/5_11,4/5_12,4/5_13,4/5_14,4/5_15,4/5_16,4/5_17,4/5_18,4/5_19,4/5_20,5/5_1,5/5_2,5/5_3,5/5_4,5/5_5,5/5_6,5/5_7,5/5_8,5/5_9,5/5_10,5/5_11,5/5_12,5/5_13,5/5_14,5/5_15,5/5_16,5/5_17,5/5_18,5/5_19,5/5_20
2024/6/20 11:58,2024/6/20 12:03,0,,100,271,1,2024/6/20 12:03,R_4exy9r8YxE0DlDj,,,,,36.6125,136.6089,anonymous,JA,3,45,4,3,4,4,4,1,4,4,5,5,5,3,2,6,7,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,3,1,1,1,1,1,5,1,1,4,1,1,1,1,2,2
2024/6/20 12:24,2024/6/20 12:32,0,,100,452,1,2024/6/20 12:32,R_4Rrpni3FVBAOTrD,,,,,36.6125,136.6089,anonymous,JA,4,46,1,1,4,2,4,4,1,2,2,2,4,2,1,2,3,3,1,4,3,3,2,2,2,2,1,1,3,4,4,4,2,3,4,1,2,4,1,4,1,4,1,3,3,4,1,2,4,3,2,4,4,4,3,5,5
2024/6/20 14:05,2024/6/20 14:10,0,,100,298,1,2024/6/20 14:10,R_4iCh3Ro6eeHDLCI,,,,,36.6125,136.6089,anonymous,JA,3,47,4,2,4,2,4,1,4,4,4,5,4,4,4,5,6,1,1,2,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,4,1,1,3,3,1,2,3,3,3,3,3,2,2,2,4
2024/6/20 14:54,2024/6/20 14:58,0,,100,273,1,2024/6/20 14:58,R_4CeXM5Iylh8er96,,,,,36.6125,136.6089,anonymous,JA,4,48,1,5,1,5,1,5,1,1,3,2,1,1,1,2,2,3,1,3,1,2,1,1,1,1,3,1,2,1,1,2,1,1,3,2,3,2,3,2,1,5,1,1,2,2,2,1,2,2,3,3,3,2,2,2,3
2024/6/20 15:36,2024/6/20 15:44,0,,100,481,1,2024/6/20 15:44,R_4dmuBaBYtwW5dvg,,,,,36.6125,136.6089,anonymous,JA,3,49,4,2,5,2,5,1,4,4,4,5,4,2,2,6,5,1,1,2,2,2,1,2,1,1,1,2,1,2,1,1,1,1,3,1,2,3,1,1,1,3,2,1,3,2,1,2,1,1,2,2,5,1,1,1,1
2024/6/21 9:55,2024/6/21 10:02,0,,100,399,1,2024/6/21 10:02,R_4qlyj0OOeWyzHLf,,,,,36.6125,136.6089,anonymous,JA,3,50,4,2,5,2,4,2,4,4,4,2,2,2,2,1,5,4,2,3,2,3,2,5,2,2,2,4,2,4,3,4,2,1,5,4,5,2,3,4,2,1,2,2,4,3,4,2,4,4,4,4,5,3,4,4,2
2024/6/21 11:17,2024/6/21 11:24,0,,100,408,1,2024/6/21 11:24,R_4dVQAxrHKUrHD99,,,,,36.6125,136.6089,anonymous,JA,4,51,2,4,4,5,3,2,2,2,2,2,2,2,4,4,5,3,1,3,2,2,2,1,4,1,1,4,2,4,1,3,2,1,5,1,3,4,5,5,2,1,2,2,2,1,3,1,2,3,4,3,5,2,2,3,5
2024/6/21 13:47,2024/6/21 13:51,0,,100,272,1,2024/6/21 13:51,R_4frV5L1cmO2y1wf,,,,,36.6125,136.6089,anonymous,JA,4,52,4,2,4,5,2,2,3,2,4,4,5,4,1,6,3,1,2,2,2,1,5,2,4,1,1,1,2,4,2,2,2,1,5,1,4,4,2,4,2,5,2,1,2,2,1,5,2,5,4,4,2,1,2,2,4
2024/6/21 15:19,2024/6/21 15:23,0,,100,245,1,2024/6/21 15:23,R_4VQaITt5I5dqGBj,,,,,36.6125,136.6089,anonymous,JA,3,53,2,4,4,2,5,2,4,4,4,4,3,4,2,3,5,1,1,4,2,2,4,1,2,1,1,2,3,2,1,2,1,2,1,4,4,1,1,2,1,5,4,1,4,5,1,4,2,1,1,2,1,2,4,1,1
2024/6/21 15:47,2024/6/21 15:52,0,,100,316,1,2024/6/21 15:52,R_4tL0FZ6gXpg2gkV,,,,,36.6125,136.6089,anonymous,JA,4,54,5,1,5,2,5,1,5,5,4,5,5,4,5,6,7,2,2,3,1,1,5,1,5,4,1,3,5,4,4,5,1,3,5,1,4,5,1,5,2,1,4,1,4,1,4,1,5,5,5,5,2,5,4,5,2
2024/6/24 12:51,2024/6/24 12:57,0,,100,378,1,2024/6/24 12:58,R_4YbrX5SPhP6s1mc,,,,,36.5968,136.5998,anonymous,JA,3,55,4,3,4,2,4,1,4,4,4,3,1,4,4,5,6,3,1,2,1,1,2,2,1,1,1,1,2,2,2,2,1,2,3,1,3,3,2,3,1,3,3,1,1,3,2,2,3,2,2,3,4,3,3,4,5
2024/6/24 13:43,2024/6/24 13:48,0,,100,326,1,2024/6/24 13:48,R_4ndRA0xfibntMsg,,,,,36.6125,136.6089,anonymous,JA,4,56,2,2,4,4,3,2,2,3,4,3,2,2,2,5,5,5,2,4,4,5,5,5,5,4,2,4,4,4,4,5,4,4,5,3,4,5,4,5,4,3,4,4,5,4,5,1,4,5,5,5,5,4,4,4,4
2024/6/24 14:39,2024/6/24 14:45,0,,100,372,1,2024/6/24 14:45,R_4KTnTnHnnAgoMkf,,,,,36.6125,136.6089,anonymous,JA,3,57,2,4,2,4,2,4,2,2,4,4,2,4,2,6,5,2,1,3,2,1,2,2,4,1,1,1,1,1,1,1,1,1,4,1,3,3,2,2,1,2,1,1,1,3,2,1,1,2,2,1,2,1,1,1,2
2024/6/24 17:14,2024/6/24 17:18,0,,100,249,1,2024/6/24 17:18,R_4bH4CHf4uk0oy4p,,,,,36.6125,136.6089,anonymous,JA,4,58,4,2,4,3,4,2,4,4,2,2,3,4,2,3,5,4,4,4,5,4,4,4,4,3,4,4,4,4,4,5,4,4,5,2,4,5,2,4,4,4,3,3,4,3,5,2,4,4,4,4,4,5,5,5,4
2024/6/26 13:33,2024/6/26 13:40,0,,100,377,1,2024/6/26 13:40,R_400Iay4UBqaxld9,,,,,36.6125,136.6089,anonymous,JA,3,59,4,2,4,4,5,2,4,5,4,5,4,5,4,5,6,3,1,4,5,5,4,5,3,1,1,4,5,5,4,4,2,2,5,3,5,5,4,5,5,1,5,5,4,1,5,1,4,5,5,5,5,4,2,3,5
2024/6/26 14:10,2024/6/26 14:16,0,,100,354,1,2024/6/26 14:16,R_4dDFgcW3NopZurA,,,,,36.6125,136.6089,anonymous,JA,4,60,2,4,3,4,4,2,2,2,2,4,2,2,2,3,5,2,2,1,1,1,3,2,1,1,1,2,2,1,2,3,1,1,5,1,4,4,3,5,1,2,2,4,2,1,2,2,2,4,4,5,4,3,1,2,2
2024/6/26 15:10,2024/6/26 15:16,0,,100,309,1,2024/6/26 15:16,R_4NfX7Tyvzhup3cg,,,,,36.6125,136.6089,anonymous,JA,3,61,1,5,1,5,1,5,1,1,2,1,1,2,1,2,3,2,1,3,1,3,2,4,2,1,4,4,2,1,2,2,1,1,4,1,2,2,4,3,3,2,1,1,1,1,1,2,1,1,2,3,2,1,1,2,3
2024/6/26 16:20,2024/6/26 16:25,0,,100,302,1,2024/6/26 16:25,R_4kYXm4eHwCXiDy0,,,,,35.6897,139.6895,anonymous,JA,4,62,4,3,4,2,4,3,4,3,4,3,3,3,3,3,4,2,1,2,2,2,2,1,1,1,2,3,2,1,1,2,2,1,3,1,2,3,3,2,2,2,2,1,2,2,3,2,2,2,2,2,3,2,1,2,2
2024/7/2 15:54,2024/7/2 15:58,0,,100,221,1,2024/7/2 15:58,R_4KvmxEYJENjSBPb,,,,,36.6125,136.6089,anonymous,JA,3,63,2,2,4,5,3,1,2,3,3,2,2,2,3,5,5,1,1,4,1,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,1,5,1,1,1,5,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1
2024/7/2 16:38,2024/7/2 16:43,0,,100,292,1,2024/7/2 16:43,R_4qwsuOEJTUzgFJc,,,,,36.6125,136.6089,anonymous,JA,4,64,4,2,4,3,3,2,3,3,2,4,4,4,2,4,5,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,4,1,3,1,3,2,2,2,1,1,1,1
2024/7/2 17:04,2024/7/2 17:12,0,,100,424,1,2024/7/2 17:12,R_4U9Pm2JQ2vL5B51,,,,,36.6125,136.6089,anonymous,JA,3,65,4,3,4,3,4,2,3,3,4,3,2,3,4,5,5,2,1,1,1,2,3,2,1,1,1,3,1,1,1,1,1,1,3,1,2,2,1,3,1,4,2,2,1,4,2,2,2,4,4,3,3,2,2,2,4
2024/7/3 9:38,2024/7/3 9:43,0,,100,328,1,2024/7/3 9:43,R_43llre2B3yaEjfn,,,,,36.6125,136.6089,anonymous,JA,4,66,2,4,1,2,2,3,2,2,2,2,2,2,2,2,2,4,1,4,4,4,2,2,2,2,1,1,1,3,1,2,2,2,4,4,3,4,5,5,5,3,4,2,4,4,2,2,4,4,5,5,5,4,5,4,5
2024/7/3 11:25,2024/7/3 11:30,0,,100,314,1,2024/7/3 11:30,R_4F9dezzJOPTbYV8,,,,,36.6125,136.6089,anonymous,JA,4,67,4,3,4,4,3,1,2,4,4,4,1,2,4,5,6,4,1,3,2,1,5,4,1,1,5,2,4,2,5,4,1,1,5,1,5,5,4,5,4,4,4,3,2,3,4,4,4,5,5,5,4,5,3,2,4
2024/7/3 14:37,2024/7/3 14:44,0,,100,417,1,2024/7/3 14:44,R_4I8XwREL37pv2aB,,,,,36.6125,136.6089,anonymous,JA,2,68,4,3,5,5,4,2,3,2,4,4,2,3,2,5,5,3,1,2,2,1,3,2,2,1,2,4,2,2,1,2,2,1,2,1,4,4,2,3,2,2,4,3,3,2,4,2,2,3,3,4,5,2,1,2,5
2024/7/4 11:57,2024/7/4 12:02,0,,100,280,1,2024/7/4 12:02,R_4IbyHhtmSSz5Dv3,,,,,36.6125,136.6089,anonymous,JA,3,69,2,4,4,4,3,4,2,4,2,2,4,1,1,2,2,4,1,2,4,3,4,1,1,1,3,2,1,1,2,2,2,2,3,2,4,2,2,2,1,4,2,2,4,2,1,1,4,4,4,4,5,4,1,4,5
2024/7/4 12:42,2024/7/4 12:47,0,,100,289,1,2024/7/4 12:47,R_4PdcsbqI8ZhKSNP,,,,,36.6125,136.6089,anonymous,JA,3,70,2,4,2,4,4,2,2,2,2,5,2,4,2,2,3,3,4,3,4,4,4,2,4,1,4,4,1,4,2,2,4,2,5,4,4,3,5,3,2,2,4,3,4,3,3,1,2,2,4,4,2,4,1,2,4
2024/7/4 13:49,2024/7/4 13:54,0,,100,278,1,2024/7/4 13:54,R_41XgzJ9UslVtjGh,,,,,36.6125,136.6089,anonymous,JA,4,71,2,2,3,4,3,3,2,3,5,2,1,2,2,2,2,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,4,1,1,1,4,1,3,3,2,2,4,2,2,1,1,2
2024/7/4 14:23,2024/7/4 14:27,0,,100,240,1,2024/7/4 14:27,R_4EFAiBOdDHNUTiC,,,,,36.6125,136.6089,anonymous,JA,4,72,4,2,5,1,5,2,5,4,2,4,3,3,2,3,6,4,2,4,4,4,5,5,2,5,3,4,4,4,5,5,3,5,4,1,5,4,4,4,2,2,4,4,5,1,4,2,5,5,5,5,5,5,4,4,5
2024/7/4 14:54,2024/7/4 15:00,0,,100,331,1,2024/7/4 15:00,R_4l5cAIzvF3lvBVG,,,,,36.6125,136.6089,anonymous,JA,3,73,2,2,4,2,5,1,4,3,2,5,5,2,4,3,3,1,2,3,3,1,1,3,2,1,1,2,1,3,1,1,1,1,5,1,3,3,2,1,3,1,3,2,1,1,3,1,2,4,3,3,3,2,1,2,3
2024/7/5 10:29,2024/7/5 10:35,0,,100,393,1,2024/7/5 10:35,R_4aLxlg96aTqre5A,,,,,36.6125,136.6089,anonymous,JA,2,74,4,2,2,5,4,2,2,2,1,1,2,2,2,5,3,2,2,4,4,1,1,1,1,1,1,3,2,1,1,1,1,1,4,1,2,1,2,3,1,3,1,1,2,4,2,3,4,3,3,2,2,1,1,1,2
2024/7/5 13:47,2024/7/5 13:53,0,,100,388,1,2024/7/5 13:53,R_4ezdViO8vll3dY7,,,,,36.6125,136.6089,anonymous,JA,4,75,2,2,4,3,2,2,2,2,4,4,2,2,2,3,3,4,1,4,3,1,3,1,4,1,1,3,3,3,1,1,1,1,2,1,2,2,2,4,2,4,4,2,3,3,3,2,4,4,3,3,2,1,1,2,4
2024/7/5 14:42,2024/7/5 14:48,0,,100,386,1,2024/7/5 14:48,R_4fBJP5sSsP0VBZH,,,,,36.6125,136.6089,anonymous,JA,1,76,4,2,5,2,5,1,4,5,5,5,5,2,4,6,6,3,1,2,1,3,2,3,2,1,4,4,3,2,1,3,1,1,5,3,5,5,3,5,3,2,3,2,3,2,2,1,4,5,5,5,5,3,3,3,3
2024/7/5 16:47,2024/7/5 16:52,0,,100,256,1,2024/7/5 16:52,R_4jjtiLwZ315F3Ph,,,,,36.6125,136.6089,anonymous,JA,3,77,2,4,3,4,2,3,2,2,4,4,3,2,2,4,3,2,1,2,2,2,2,3,3,2,3,1,2,1,2,2,3,2,3,2,3,2,2,2,2,2,2,1,3,1,3,1,3,3,3,3,2,3,2,2,3
2024/7/8 14:03,2024/7/8 14:13,0,,100,649,1,2024/7/8 14:13,R_4KJDIAZR57x7bMQ,,,,,36.6125,136.6089,anonymous,JA,3,78,4,2,4,2,4,2,4,4,4,4,2,2,2,5,6,4,3,2,1,1,3,1,2,1,2,3,4,3,3,2,2,1,4,1,4,3,4,3,1,1,2,3,3,2,4,1,5,4,5,4,4,4,4,5,2
2024/7/9 13:45,2024/7/9 13:52,0,,100,443,1,2024/7/9 13:52,R_44caLH5jUMTvj9v,,,,,34.6892,135.4899,anonymous,JA,4,79,4,2,2,2,2,1,4,3,4,2,2,2,1,5,4,1,1,5,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,2,1,2,5,1,2,3,4,5,1,4,4,2,1,2,3,2,2,1,2,3,1
2024/7/10 13:26,2024/7/10 13:34,0,,100,477,1,2024/7/10 13:34,R_4eeR0rj2qd5738m,,,,,36.6125,136.6089,anonymous,JA,2,80,4,4,5,4,4,2,2,4,3,2,2,2,2,3,5,2,1,2,2,2,1,2,2,1,1,1,2,1,1,2,1,1,4,1,3,3,2,2,2,3,1,2,2,2,1,2,1,1,1,2,3,1,1,2,3
2024/7/10 15:16,2024/7/10 15:23,0,,100,441,1,2024/7/10 15:23,R_42iomV1ZXQjD4mw,,,,,36.6125,136.6089,anonymous,JA,1,81,4,3,4,5,4,2,4,3,4,5,5,5,4,4,5,2,2,5,5,2,5,4,5,4,2,3,1,5,4,4,2,3,5,5,5,5,1,5,4,3,2,4,5,2,3,3,5,5,5,4,5,5,4,4,5
2024/7/11 11:44,2024/7/11 11:49,0,,100,293,1,2024/7/11 11:49,R_40ouPQIKI1lJLxf,,,,,36.6125,136.6089,anonymous,JA,3,82,2,5,4,5,1,1,1,2,4,5,2,5,1,5,7,4,5,2,2,5,5,4,1,1,4,5,5,2,4,5,1,1,5,1,5,2,4,5,5,2,5,4,5,2,4,1,5,4,5,4,5,4,5,5,4
2024/7/11 13:39,2024/7/11 13:43,0,,100,248,1,2024/7/11 13:43,R_4nS5kXAas2o23OV,,,,,36.6125,136.6089,anonymous,JA,4,83,1,4,2,5,2,4,2,1,3,3,3,1,1,4,3,1,1,4,2,3,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,3,3,3,2,4,3,3,3,4,2,3,2,1,4,3,3,3,2,1,3
2024/7/11 14:50,2024/7/11 14:55,0,,100,323,1,2024/7/11 14:55,R_4ENir0uK4vhQHKN,,,,,36.6125,136.6089,anonymous,JA,3,84,3,2,5,3,3,3,3,5,2,2,1,3,3,4,5,1,1,1,1,2,1,5,1,1,5,1,1,2,5,5,1,1,5,1,5,5,5,5,5,1,5,3,2,1,5,1,5,1,5,5,5,5,1,1,2
2024/7/11 15:45,2024/7/11 15:51,0,,100,409,1,2024/7/11 15:51,R_4VjRtfNLWZGalMI,,,,,36.6125,136.6089,anonymous,JA,4,85,2,4,4,5,2,2,2,4,4,2,1,2,2,5,5,3,3,2,5,2,5,4,1,1,1,3,2,3,1,3,3,4,5,1,4,3,4,5,2,1,3,2,4,3,4,4,5,3,5,4,3,3,4,3,4
2024/7/11 16:14,2024/7/11 16:17,0,,100,200,1,2024/7/11 16:17,R_4JzlZikVsSUzGvY,,,,,36.6125,136.6089,anonymous,JA,3,86,2,2,1,1,5,4,1,1,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,4,4,3,3,1,1,1,4,2,4,4,3,3,1,3,1,1,1,1
2024/7/11 16:57,2024/7/11 17:04,0,,100,417,1,2024/7/11 17:04,R_4tWSdzNfh4HJxmN,,,,,36.6125,136.6089,anonymous,JA,4,87,2,4,2,5,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,3,2,1,2,3,2,3,2,2,2,2,2,1,1,1,3
